va	mangled	size	code	class	name
0053E3E0	?IsPerpACop@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	16	1	aiPoliceOfficer	IsPerpACop
0053E3F0	?OffRoad@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	16	1	aiPoliceOfficer	OffRoad
0053E400	?InPersuit@aiPoliceOfficer@@QAEHXZ	16	1	aiPoliceOfficer	InPersuit
0053E410	?FollowPerpetrator@aiPoliceOfficer@@AAEXXZ	368	1	aiPoliceOfficer	FollowPerpetrator
0053E580	?ApprehendPerpetrator@aiPoliceOfficer@@AAEXXZ	384	1	aiPoliceOfficer	ApprehendPerpetrator
0053E700	?Barricade@aiPoliceOfficer@@AAEXXZ	16	1	aiPoliceOfficer	Barricade
0053E710	?Push@aiPoliceOfficer@@AAEXXZ	848	1	aiPoliceOfficer	Push
0053EA60	?Block@aiPoliceOfficer@@AAEXXZ	1808	1	aiPoliceOfficer	Block
0053F170	?PerpEscapes@aiPoliceOfficer@@QAEX_N@Z	112	1	aiPoliceOfficer	PerpEscapes
0053F1E0	?DrawId@aiPoliceOfficer@@QAEXXZ	16	1	aiPoliceOfficer	DrawId
0053F1F0	?DrawRouteThroughTraffic@aiPoliceOfficer@@QAEXXZ	304	1	aiPoliceOfficer	DrawRouteThroughTraffic
0053F320	??0aiVehiclePlayer@@QAE@XZ	32	1	aiVehiclePlayer	aiVehiclePlayer
0053F340	??1aiVehiclePlayer@@QAE@XZ	16	1	aiVehiclePlayer	~aiVehiclePlayer
0053F350	?Attach@aiVehiclePlayer@@QAEXPAVvehCar@@@Z	16	1	aiVehiclePlayer	Attach
0053F360	?Reset@aiVehiclePlayer@@UAEXXZ	192	1	aiVehiclePlayer	Reset
0053F420	?Update@aiVehiclePlayer@@UAEXXZ	288	1	aiVehiclePlayer	Update
0053F540	?CurrentRoadIdx@aiVehiclePlayer@@UAEHPAPAVaiPath@@QA_NPAH@Z	112	1	aiVehiclePlayer	CurrentRoadIdx
0053F5B0	?CurrentRdVert@aiVehiclePlayer@@UAEHXZ	16	1	aiVehiclePlayer	CurrentRdVert
0053F5C0	?DrawId@aiVehiclePlayer@@UAEXXZ	16	1	aiVehiclePlayer	DrawId
0053F5D0	?InAccident@aiObstacle@@UAEHXZ	16	1	aiObstacle	InAccident
0053F5E0	?BreakThreshold@aiObstacle@@UAEMXZ	16	1	aiObstacle	BreakThreshold
0053F5F0	?Drivable@aiObstacle@@UAEHXZ	16	1	aiObstacle	Drivable
0053F600	?Type@aiVehiclePlayer@@UAEHXZ	16	1	aiVehiclePlayer	Type
0053F610	?Speed@aiVehiclePlayer@@UAEMXZ	16	1	aiVehiclePlayer	Speed
0053F620	?Position@aiVehiclePlayer@@UAEXAAVVector3@@@Z	48	1	aiVehiclePlayer	Position
0053F650	?GetMatrix@aiVehiclePlayer@@UAEAAVMatrix34@@XZ	16	1	aiVehiclePlayer	GetMatrix
0053F660	?FrontBumperDistance@aiVehiclePlayer@@UAEMXZ	32	1	aiVehiclePlayer	FrontBumperDistance
0053F680	?BackBumperDistance@aiVehiclePlayer@@UAEMXZ	32	1	aiVehiclePlayer	BackBumperDistance
0053F6A0	?LSideDistance@aiVehiclePlayer@@UAEMXZ	32	1	aiVehiclePlayer	LSideDistance
0053F6C0	?RSideDistance@aiVehiclePlayer@@UAEMXZ	32	1	aiVehiclePlayer	RSideDistance
0053F6E0	?CurrentLane@aiVehiclePlayer@@UAEHXZ	16	1	aiVehiclePlayer	CurrentLane
0053F6F0	?CurrentRoadId@aiVehiclePlayer@@UAEHXZ	16	1	aiVehiclePlayer	CurrentRoadId
0053F700	??0aiCableCar@@QAE@XZ	128	1	aiCableCar	aiCableCar
0053F780	??1aiCableCar@@QAE@XZ	96	1	aiCableCar	~aiCableCar
0053F7E0	?Init@aiCableCar@@QAEXPADHHF@Z	432	1	aiCableCar	Init
0053F990	?Reset@aiCableCar@@UAEXXZ	576	1	aiCableCar	Reset
0053FBD0	?Update@aiCableCar@@UAEXXZ	256	1	aiCableCar	Update
0053FCD0	?DetermineNextLink@aiCableCar@@AAE_NPAVaiPath@@PAPAV2@FPAF@Z	640	1	aiCableCar	DetermineNextLink
0053FF50	?SolvePositionAndOrientation@aiCableCar@@AAEXXZ	1584	1	aiCableCar	SolvePositionAndOrientation
00540580	?SolveVelocity@aiCableCar@@AAEXXZ	560	1	aiCableCar	SolveVelocity
005407B0	?CheckForObstacles@aiCableCar@@AAE_NPAM@Z	624	1	aiCableCar	CheckForObstacles
00540A20	?OkayToEnterIntersection@aiCableCar@@AAE_NM@Z	368	1	aiCableCar	OkayToEnterIntersection
00540B90	?DistanceToIntersection@aiCableCar@@AAEMXZ	96	1	aiCableCar	DistanceToIntersection
00540BF0	?SolveRailType@aiCableCar@@AAEXXZ	1264	1	aiCableCar	SolveRailType
005410E0	?CurrentRoadIdx@aiCableCar@@UAEHPAPAVaiPath@@QA_NPAH@Z	272	1	aiCableCar	CurrentRoadIdx
005411F0	?CurrentRdVert@aiCableCar@@UAEHXZ	32	1	aiCableCar	CurrentRdVert
00541210	?UpdateObstacleMap@aiCableCar@@AAEXXZ	704	1	aiCableCar	UpdateObstacleMap
005414D0	?DetermineSister@aiCableCar@@QAEXXZ	208	1	aiCableCar	DetermineSister
