# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8b8ea8010000	mov ecx, dword ptr [esi + 1A8h]
8b8e98010000	mov ecx, dword ptr [esi + 198h]
8b8e9c010000	mov ecx, dword ptr [esi + 19Ch]
8b8eac010000	mov ecx, dword ptr [esi + 1ACh]
8b8eb0010000	mov ecx, dword ptr [esi + 1B0h]
8b8e90010000	mov ecx, dword ptr [esi + 190h]
8b8e94010000	mov ecx, dword ptr [esi + 194h]
899ea4010000	mov dword ptr [esi + 1A4h], ebx
899e8c010000	mov dword ptr [esi + 18Ch], ebx
899ea0010000	mov dword ptr [esi + 1A0h], ebx
899ea8010000	mov dword ptr [esi + 1A8h], ebx
899e98010000	mov dword ptr [esi + 198h], ebx
899e9c010000	mov dword ptr [esi + 19Ch], ebx
899eac010000	mov dword ptr [esi + 1ACh], ebx
899eb0010000	mov dword ptr [esi + 1B0h], ebx
899e90010000	mov dword ptr [esi + 190h], ebx
899e94010000	mov dword ptr [esi + 194h], ebx
899e88010000	mov dword ptr [esi + 188h], ebx
8b8188010000	mov eax, dword ptr [ecx + 188h]
8b8894000000	mov ecx, dword ptr [eax + 94h]
ff5038	call dword ptr [eax + 38h]
ff5238	call dword ptr [edx + 38h]
8d4df8	lea ecx, [ebp - 8]
8d4dfc	lea ecx, [ebp - 4]
8b55fc	mov edx, dword ptr [ebp - 4]
c745f400000000	mov dword ptr [ebp - 0Ch], 0
df6df0	fild qword ptr [ebp - 10h]
ff500c	call dword ptr [eax + 0Ch]
ff5010	call dword ptr [eax + 10h]
8b5148	mov edx, dword ptr [ecx + 48h]
8b8a2c0e0000	mov ecx, dword ptr [edx + 0E2Ch]
89918c000000	mov dword ptr [ecx + 8Ch], edx
8b8688010000	mov eax, dword ptr [esi + 188h]
8b4848	mov ecx, dword ptr [eax + 48h]
8b912c0e0000	mov edx, dword ptr [ecx + 0E2Ch]
8b4230	mov eax, dword ptr [edx + 30h]
83c01c	add eax, 1Ch
8b4048	mov eax, dword ptr [eax + 48h]
05a4020000	add eax, 2A4h
f6401001	test byte ptr [eax + 10h], 1
8b81280e0000	mov eax, dword ptr [ecx + 0E28h]
8b4844	mov ecx, dword ptr [eax + 44h]
83f903	cmp ecx, 3
ff5214	call dword ptr [edx + 14h]
8b86b4010000	mov eax, dword ptr [esi + 1B4h]
8986b4010000	mov dword ptr [esi + 1B4h], eax
3c03	cmp al, 3
8b89280e0000	mov ecx, dword ptr [ecx + 0E28h]
ff5204	call dword ptr [edx + 4]
8b4a18	mov ecx, dword ptr [edx + 18h]
3c02	cmp al, 2
6a03	push 3
8b4948	mov ecx, dword ptr [ecx + 48h]
81c188020000	add ecx, 288h
ff5218	call dword ptr [edx + 18h]
f6450801	test byte ptr [ebp + 8], 1
c20400	ret 4
f6c302	test bl, 2
8b46fc	mov eax, dword ptr [esi - 4]
8d7efc	lea edi, [esi - 4]
6a50	push 50h
f6c301	test bl, 1
